"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"19",19,"female","White","Catholic","moderate","Divorced","NEVER",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Too little","Too little","Too little","Too little","Too little",NA,"Too much","Too little",NA,NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Strong disagree",NA,NA,NA,"Somewhat likely","Democrat","moderate","30 to 44","$60,000 or more","college graduate","South","other urban county",0,0,NA
"20",20,"female","White","Protestant","liberal","Never married","EVERY WEEK","Wrong sometimes","Always wrong","Always wrong","Always wrong","No",NA,"Oppose",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too much",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Strongly agree","Strong disagree","No","Very Much Favor","Somewhat Favor","Somewhat likely","Republican","moderate","30 to 44","$35,000 to $59,000","college graduate","South","other urban county",0,1,1
"21",21,"female","Black","Protestant","fundamentalist","Never married","NEVER","Not wrong at all","Always wrong","Always wrong","Always wrong","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","moderate","45 to 59","under $20,000","less than h.s. diploma","North Central","central city (top 100)",0,1,3
"22",22,"female","Black","Protestant","fundamentalist","Widowed","SEVERAL TIMES WK",NA,"Always wrong","Always wrong","Always wrong",NA,NA,"Oppose",NA,"Disapprove","Too little","Too little","Too little","Too little","Too little","Too little",NA,"Too little",NA,NA,NA,NA,NA,NA,NA,"Agree","Agree","Agree","Agree","Yes","Not Favor/Opposd","Not Favor/Opposd","Very likely","Democrat","moderate","60 or older","under $20,000","less than h.s. diploma","North Central","central city (top 100)",0,1,3
"23",23,"female","Black","Protestant","fundamentalist","Divorced","EVERY WEEK",NA,"Almst alwys wrng","Always wrong",NA,NA,"Oppose","Favor",NA,NA,NA,NA,"Too little","Too little",NA,"Too little","Too little","Too little","Too little","great confidence","great confidence",NA,"some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Democrat","conservative","60 or older","under $20,000","less than h.s. diploma","North Central","central city (top 100)",0,1,3
"24",24,"female","Black","Protestant","fundamentalist","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Agree","Disagree","Disagree","Agree","No","Very Much Favor","Somewhat Favor",NA,"Democrat","moderate","45 to 59","$60,000 or more","college graduate","North Central","central city (top 100)",0,1,3
"25",25,"female","Black","Protestant","moderate","Never married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong",NA,NA,"Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Very Much Favor","Very Much Favor","Somewhat likely","Democrat","liberal","45 to 59","$20,000 to $34,999","some college","North Central","central city (top 100)",0,1,NA
"26",26,"female","White","None","liberal","Separated","NEVER","Not wrong at all","Always wrong","Not wrong at all","Always wrong","Yes","Favor","Favor",NA,"Approve","About right","Too little","Too much","Too little","Too little","Too much","Too little","Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Disagree","No","Very Much Opposd","Somewhat Opposed","Very likely","Independent","liberal","30 to 44","$20,000 to $34,999","high school graduate","North Central","central city (top 100)",0,0,1
"27",27,"male","White","Protestant","liberal","Married","SEVERAL TIMES YR",NA,"Always wrong","Always wrong",NA,"Yes","Favor","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"About right","Too little","great confidence","great confidence","Hardly confidnce","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","conservative","45 to 59","$60,000 or more","high school graduate","North Central","other urban county",0,1,1
"28",28,"female","White","Protestant","fundamentalist","Married","ONCE OR TWICE YR","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,"Too much","Too much","Too much","About right","About right","About right","Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Agree","No","Somewhat Opposed",NA,NA,"Independent","moderate","60 or older","$20,000 to $34,999","less than h.s. diploma","North Central","other urban county",0,1,3
"29",29,"male","White","Catholic","moderate","Widowed","EVERY WEEK","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","great confidence","some confidence","great confidence","some confidence","some confidence","some confidence","Agree","Agree","Agree","Agree","Yes","Somewhat Opposed","Somewhat Opposed",NA,"Democrat","conservative","60 or older","$20,000 to $34,999","some college","North Central","other urban county",0,0,NA
"30",30,"female","White","None","liberal","Married","NEVER","Not wrong at all","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Strongly agree",NA,"Strong disagree","Disagree",NA,NA,NA,NA,"Democrat","moderate","30 to 44",NA,"high school graduate","North Central","other urban county",0,0,1
"31",31,"male","White","Catholic","moderate","Married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"Yes","Favor",NA,NA,NA,"Too little","Too little","Too little","Too little","Too little","Too much","Too much","Too little","Too little","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","30 to 44","$60,000 or more","high school graduate","North Central","other urban county",0,0,NA
"32",32,"male","White","Protestant","moderate","Divorced","NEVER","Not wrong at all","Always wrong","Always wrong","Always wrong","No","Favor","Oppose",NA,"Disapprove","Too much","Too little","Too little","Too little","About right","About right","About right","Too much","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Independent","conservative","30 to 44","$20,000 to $34,999","less than h.s. diploma","North Central","other urban county",0,1,NA
"33",33,"male","White","Protestant","liberal","Married",NA,NA,"Always wrong","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,"About right","Too little","About right","About right","Too little","About right","About right","Too little","About right","some confidence","some confidence","great confidence","some confidence","great confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","moderate","30 to 44","$60,000 or more","college graduate","North Central","central city (top 100)",0,1,1
"34",34,"male","White","Protestant","fundamentalist","Married","EVERY WEEK","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Favor",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too much","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Disagree","Disagree","Strongly agree",NA,"No","Somewhat Opposed","Not Favor/Opposd",NA,"Independent","conservative","30 to 44","$60,000 or more","college graduate","North Central","central city (top 100)",0,1,3
"35",35,"female","White","Jewish","liberal","Married","ONCE OR TWICE YR",NA,"Always wrong","Not wrong at all",NA,"Yes","Favor","Favor","Should not",NA,"Too little","Too little","Too little","Too little","About right","About right","About right","Too little","About right","great confidence","great confidence","great confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","moderate","60 or older","$60,000 or more","some college","North Central","central city (top 100)",0,0,1
"36",36,"female","White","Jewish","liberal","Divorced","SEVERAL TIMES WK","Not wrong at all",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","great confidence","some confidence","some confidence","great confidence","some confidence","Strongly agree","Strong disagree","Strong disagree","Strong disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","liberal","45 to 59","$35,000 to $59,000","college graduate","North Central","central city (top 100)",0,0,1
"37",37,"female","White","Catholic","moderate","Married","ONCE A MONTH","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Strongly agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Republican","conservative","30 to 44","$60,000 or more","some college","North Central","central city (top 100)",0,0,NA
"38",38,"female","White","Protestant","liberal","Divorced","SEVERAL TIMES YR","Always wrong","Always wrong","Not wrong at all","Always wrong","No","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","Too much","Too little","About right","Too little","Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Agree","Strong disagree","Disagree","Yes","Somewhat Favor","Somewhat Favor","Not very likely","Democrat","liberal","45 to 59","under $20,000","less than h.s. diploma","Northeast","central city (top 100)",0,1,1
"39",39,"female","Black","Catholic","moderate","Never married","2-3 TIMES MONTH","Always wrong","Always wrong","Always wrong","Always wrong","Yes","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Agree","Strong disagree","No","Not Favor/Opposd","Very Much Favor","Somewhat likely","Democrat","liberal","45 to 59","$35,000 to $59,000","college graduate","Northeast","central city (top 100)",0,0,NA
"40",40,"female","White","Catholic","moderate","Never married",NA,"Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence","some confidence","great confidence","some confidence","some confidence","some confidence","Strongly agree","Strong disagree","Strong disagree","Strong disagree","No","Very Much Favor","Very Much Favor",NA,"Independent","liberal","18 to 29","$35,000 to $59,000","some college","Northeast","central city (top 100)",0,0,NA
"41",41,"male","Black","Other",NA,"Separated","EVERY WEEK",NA,"Wrong sometimes","Always wrong",NA,"No","Favor","Favor","Should not",NA,"About right","Too little","About right","Too little","About right","About right","Too little","Too much","About right","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","45 to 59","under $20,000","less than h.s. diploma","Northeast","central city (top 100)",0,0,NA
"42",42,"female","Black","Protestant","fundamentalist","Widowed","EVERY WEEK","Always wrong",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should not","Disapprove","About right","About right","About right","About right","About right","About right","Too much","About right","About right","great confidence","some confidence","some confidence","some confidence","great confidence","great confidence","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,"Democrat",NA,"60 or older","under $20,000","less than h.s. diploma","Northeast","central city (top 100)",0,1,3
"43",43,"female","White","Catholic","moderate","Divorced","SEVERAL TIMES WK","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove","About right","Too little","Too much",NA,"About right","Too much","About right",NA,"About right","some confidence","some confidence","some confidence","Hardly confidnce","Hardly confidnce",NA,"Disagree","Agree","Agree","Agree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","liberal","45 to 59","under $20,000","high school graduate","Northeast","central city (top 100)",0,0,NA
"44",44,"male","Black","Protestant","fundamentalist","Married","ONCE OR TWICE YR",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too much","About right","great confidence","great confidence","great confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","moderate","45 to 59","$60,000 or more","high school graduate","South","suburb of biggest 100 cities",0,1,3
"45",45,"male","Black","Protestant","fundamentalist","Divorced",NA,"Not wrong at all","Always wrong","Always wrong","Always wrong","Yes",NA,"Oppose",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Agree","Yes","Very Much Favor","Somewhat Favor","Not very likely","Democrat","liberal","45 to 59","$20,000 to $34,999","less than h.s. diploma","South","suburb of biggest 100 cities",0,1,3
"46",46,"male","Black","Protestant","fundamentalist","Never married","EVERY WEEK","Not wrong at all",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Agree","Disagree",NA,"Strong disagree","Yes","Very Much Favor","Not Favor/Opposd",NA,"Independent","moderate","45 to 59",NA,"less than h.s. diploma","South","suburb of biggest 100 cities",0,1,3
"47",47,"female","Black","Protestant","fundamentalist","Married","ONCE A MONTH","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","About right","About right",NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","Yes","Somewhat Favor","Very Much Favor","Not very likely","Democrat","liberal","30 to 44","$20,000 to $34,999","some college","South","suburb of biggest 100 cities",0,1,3
"48",48,"female","Black","None","liberal","Never married","NEVER",NA,"Wrong sometimes",NA,NA,"No",NA,NA,NA,NA,NA,"Too little","Too little","Too little","Too little","Too little",NA,NA,NA,NA,"some confidence","some confidence",NA,NA,"some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","45 to 59",NA,"less than h.s. diploma","South","suburb of biggest 100 cities",0,0,1
"49",49,"female","White","Protestant","moderate","Widowed","NEARLY EVERY WK","Almst alwys wrng",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve","About right","About right","About right","Too much","About right","About right","About right","Too little","Too little","some confidence","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Agree","Disagree","Strongly agree","Strongly agree","Yes","Somewhat Favor","Somewhat Opposed",NA,"Independent","moderate","60 or older","under $20,000","some college","Northeast","central city (top 100)",0,1,NA
"50",50,"female","White","Protestant","fundamentalist","Married","NEVER","Almst alwys wrng",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","Too much","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Disagree","Agree","Agree","Agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Democrat","liberal","45 to 59","$35,000 to $59,000","less than h.s. diploma","Northeast","central city (top 100)",0,1,3
"51",51,"female","White","Catholic","moderate","Married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should",NA,NA,NA,NA,NA,NA,NA,NA,"Too much",NA,"great confidence","great confidence","some confidence","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Republican","conservative","30 to 44","$60,000 or more","some college","Northeast","central city (top 100)",0,0,NA
"52",52,"female","White","Catholic","moderate","Widowed","EVERY WEEK",NA,"Always wrong","Almst alwys wrng",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","great confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","moderate","60 or older",NA,"high school graduate","Northeast","central city (top 100)",0,0,NA
"53",53,"male","White","None","liberal","Married","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence","some confidence","great confidence","Hardly confidnce","some confidence","Strongly agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Somewhat Opposed",NA,"Democrat","conservative","45 to 59","$60,000 or more","college graduate","Northeast","central city (top 100)",0,0,1
"54",54,"female","White","Catholic","moderate","Married","ONCE OR TWICE YR","Always wrong",NA,NA,"Almst alwys wrng",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","great confidence","some confidence","Hardly confidnce","some confidence","great confidence","some confidence","Agree","Disagree","Disagree","Agree","No","Somewhat Favor","Somewhat Favor",NA,"Independent","moderate","60 or older","$60,000 or more","college graduate","Northeast","central city (top 100)",0,0,NA
"55",55,"male","White","None","liberal","Divorced","NEVER","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","Strong disagree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","liberal","30 to 44","$60,000 or more","high school graduate","Northeast","central city (top 100)",0,0,1
"56",56,"female","White","Protestant","liberal","Married","SEVERAL TIMES YR","Not wrong at all","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove",NA,"Too little","Too little","Too little","Too little","Too much","Too much","Too little","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Agree","Strong disagree","Strongly agree","No","Not Favor/Opposd","Somewhat Opposed","Very likely","Democrat","moderate","45 to 59","$20,000 to $34,999","less than h.s. diploma","Northeast","central city (top 100)",0,1,1
"57",57,"female","White","None","liberal","Married","LESS ONCE A YEAR","Not wrong at all","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove","Too much",NA,"Too much","Too little","Too little","Too much","Too little","Too much","Too little",NA,NA,NA,NA,NA,NA,"Disagree","Strong disagree",NA,"Disagree","No","Very Much Opposd","Not Favor/Opposd","Not very likely","Democrat","liberal","30 to 44",NA,"high school graduate","Northeast","central city (top 100)",0,0,1
"58",58,"male","White","Protestant","moderate","Married","NEVER","Wrong sometimes","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too much",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Agree","Agree","No","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Republican","moderate","60 or older",NA,"less than h.s. diploma","Northeast","central city (top 100)",0,1,NA
"59",59,"male","White","Catholic","moderate","Divorced","LESS ONCE A YEAR",NA,"Wrong sometimes","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,"Too little","Too little","About right","Too little","About right","Too little","Too little","About right","About right","some confidence","some confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","45 to 59","$60,000 or more","less than h.s. diploma","Northeast","central city (top 100)",0,0,NA
